2025-05-23T12:02:18.744Z INFO    lightningd: v25.02-301-gcca076b
2025-05-23T12:02:19.066Z INFO    lightningd: Creating configuration directory /home/remyers/github/lightning-cfg/.lightning/bob/regtest
2025-05-23T12:02:19.066Z DEBUG   lightningd: Opened log file cln.log
2025-05-23T12:02:19.067Z DEBUG   plugin-manager: started(1475798) /usr/local/libexec/c-lightning/plugins/autoclean
2025-05-23T12:02:19.068Z DEBUG   plugin-manager: started(1475799) /usr/local/libexec/c-lightning/plugins/chanbackup
2025-05-23T12:02:19.068Z DEBUG   plugin-manager: started(1475800) /usr/local/libexec/c-lightning/plugins/bcli
2025-05-23T12:02:19.069Z DEBUG   plugin-manager: started(1475801) /usr/local/libexec/c-lightning/plugins/commando
2025-05-23T12:02:19.069Z DEBUG   plugin-manager: started(1475802) /usr/local/libexec/c-lightning/plugins/funder
2025-05-23T12:02:19.070Z DEBUG   plugin-manager: started(1475803) /usr/local/libexec/c-lightning/plugins/topology
2025-05-23T12:02:19.070Z DEBUG   plugin-manager: started(1475804) /usr/local/libexec/c-lightning/plugins/exposesecret
2025-05-23T12:02:19.071Z DEBUG   plugin-manager: started(1475805) /usr/local/libexec/c-lightning/plugins/keysend
2025-05-23T12:02:19.072Z DEBUG   plugin-manager: started(1475806) /usr/local/libexec/c-lightning/plugins/offers
2025-05-23T12:02:19.072Z DEBUG   plugin-manager: started(1475807) /usr/local/libexec/c-lightning/plugins/pay
2025-05-23T12:02:19.073Z DEBUG   plugin-manager: started(1475808) /usr/local/libexec/c-lightning/plugins/recklessrpc
2025-05-23T12:02:19.073Z DEBUG   plugin-manager: started(1475809) /usr/local/libexec/c-lightning/plugins/recover
2025-05-23T12:02:19.074Z DEBUG   plugin-manager: started(1475810) /usr/local/libexec/c-lightning/plugins/txprepare
2025-05-23T12:02:19.075Z DEBUG   plugin-manager: started(1475811) /usr/local/libexec/c-lightning/plugins/cln-renepay
2025-05-23T12:02:19.075Z DEBUG   plugin-manager: started(1475812) /usr/local/libexec/c-lightning/plugins/cln-xpay
2025-05-23T12:02:19.076Z DEBUG   plugin-manager: started(1475813) /usr/local/libexec/c-lightning/plugins/spenderp
2025-05-23T12:02:19.076Z DEBUG   plugin-manager: started(1475814) /usr/local/libexec/c-lightning/plugins/cln-askrene
2025-05-23T12:02:19.077Z DEBUG   plugin-manager: started(1475815) /usr/local/libexec/c-lightning/plugins/sql
2025-05-23T12:02:19.078Z DEBUG   plugin-manager: started(1475816) /usr/local/libexec/c-lightning/plugins/cln-grpc
2025-05-23T12:02:19.078Z DEBUG   plugin-manager: started(1475818) /usr/local/libexec/c-lightning/plugins/clnrest
2025-05-23T12:02:19.079Z DEBUG   plugin-manager: started(1475819) /usr/local/libexec/c-lightning/plugins/cln-lsps-client
2025-05-23T12:02:19.080Z DEBUG   plugin-manager: started(1475820) /usr/local/libexec/c-lightning/plugins/cln-lsps-service
2025-05-23T12:02:19.080Z DEBUG   plugin-manager: started(1475824) /usr/local/libexec/c-lightning/plugins/bookkeeper
2025-05-23T12:02:19.081Z DEBUG   plugin-manager: started(1475840) /usr/local/libexec/c-lightning/plugins/wss-proxy/wss-proxy
2025-05-23T12:02:19.095Z INFO    plugin-wss-proxy: Killing plugin: disabled itself: No module named 'websockets'
2025-05-23T12:02:19.096Z UNUSUAL plugin-bookkeeper: topic 'utxo_deposit' is not a known notification topic
2025-05-23T12:02:19.096Z UNUSUAL plugin-bookkeeper: topic 'utxo_spend' is not a known notification topic
2025-05-23T12:02:19.096Z DEBUG   lightningd: io_break: check_plugins_manifests
2025-05-23T12:02:19.096Z DEBUG   lightningd: io_loop_with_timers: plugins_init
2025-05-23T12:02:19.097Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_channeld
2025-05-23T12:02:19.098Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_closingd
2025-05-23T12:02:19.099Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_connectd
2025-05-23T12:02:19.100Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_gossipd
2025-05-23T12:02:19.101Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_hsmd
2025-05-23T12:02:19.102Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_onchaind
2025-05-23T12:02:19.104Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_openingd
2025-05-23T12:02:19.105Z DEBUG   hsmd: pid 1475882, msgfd 66
2025-05-23T12:02:19.116Z DEBUG   hsmd: capability +WIRE_HSMD_CHECK_PUBKEY
2025-05-23T12:02:19.116Z DEBUG   hsmd: capability +WIRE_HSMD_SIGN_ANY_DELAYED_PAYMENT_TO_US
2025-05-23T12:02:19.116Z DEBUG   hsmd: capability +WIRE_HSMD_SIGN_ANCHORSPEND
2025-05-23T12:02:19.116Z DEBUG   hsmd: capability +WIRE_HSMD_SIGN_HTLC_TX_MINGLE
2025-05-23T12:02:19.116Z DEBUG   hsmd: capability +WIRE_HSMD_SIGN_SPLICE_TX
2025-05-23T12:02:19.116Z DEBUG   hsmd: capability +WIRE_HSMD_CHECK_OUTPOINT
2025-05-23T12:02:19.116Z DEBUG   hsmd: capability +WIRE_HSMD_FORGET_CHANNEL
2025-05-23T12:02:19.116Z DEBUG   hsmd: capability +WIRE_HSMD_REVOKE_COMMITMENT_TX
2025-05-23T12:02:19.116Z DEBUG   hsmd: capability +WIRE_HSMD_SIGN_BOLT12_2
2025-05-23T12:02:19.116Z DEBUG   hsmd: capability +WIRE_HSMD_BIP137_SIGN_MESSAGE
2025-05-23T12:02:19.116Z DEBUG   hsmd: capability +WIRE_HSMD_PREAPPROVE_INVOICE_CHECK
2025-05-23T12:02:19.116Z DEBUG   hsmd: capability +WIRE_HSMD_PREAPPROVE_KEYSEND_CHECK
