2025-05-23T12:06:32.462Z INFO    lightningd: v25.02-301-gcca076b
2025-05-23T12:06:32.782Z INFO    lightningd: Creating configuration directory /home/remyers/github/lightning-cfg/.lightning/bob/regtest
2025-05-23T12:06:32.782Z DEBUG   lightningd: Opened log file cln.log
2025-05-23T12:06:32.783Z DEBUG   plugin-manager: started(1477720) /usr/local/libexec/c-lightning/plugins/autoclean
2025-05-23T12:06:32.784Z DEBUG   plugin-manager: started(1477721) /usr/local/libexec/c-lightning/plugins/chanbackup
2025-05-23T12:06:32.784Z DEBUG   plugin-manager: started(1477722) /usr/local/libexec/c-lightning/plugins/bcli
2025-05-23T12:06:32.785Z DEBUG   plugin-manager: started(1477723) /usr/local/libexec/c-lightning/plugins/commando
2025-05-23T12:06:32.785Z DEBUG   plugin-manager: started(1477724) /usr/local/libexec/c-lightning/plugins/funder
2025-05-23T12:06:32.786Z DEBUG   plugin-manager: started(1477725) /usr/local/libexec/c-lightning/plugins/topology
2025-05-23T12:06:32.787Z DEBUG   plugin-manager: started(1477726) /usr/local/libexec/c-lightning/plugins/exposesecret
2025-05-23T12:06:32.787Z DEBUG   plugin-manager: started(1477727) /usr/local/libexec/c-lightning/plugins/keysend
2025-05-23T12:06:32.788Z DEBUG   plugin-manager: started(1477728) /usr/local/libexec/c-lightning/plugins/offers
2025-05-23T12:06:32.789Z DEBUG   plugin-manager: started(1477729) /usr/local/libexec/c-lightning/plugins/pay
2025-05-23T12:06:32.789Z DEBUG   plugin-manager: started(1477730) /usr/local/libexec/c-lightning/plugins/recklessrpc
2025-05-23T12:06:32.790Z DEBUG   plugin-manager: started(1477731) /usr/local/libexec/c-lightning/plugins/recover
2025-05-23T12:06:32.790Z DEBUG   plugin-manager: started(1477732) /usr/local/libexec/c-lightning/plugins/txprepare
2025-05-23T12:06:32.791Z DEBUG   plugin-manager: started(1477733) /usr/local/libexec/c-lightning/plugins/cln-renepay
2025-05-23T12:06:32.791Z DEBUG   plugin-manager: started(1477734) /usr/local/libexec/c-lightning/plugins/cln-xpay
2025-05-23T12:06:32.792Z DEBUG   plugin-manager: started(1477735) /usr/local/libexec/c-lightning/plugins/spenderp
2025-05-23T12:06:32.793Z DEBUG   plugin-manager: started(1477736) /usr/local/libexec/c-lightning/plugins/cln-askrene
2025-05-23T12:06:32.793Z DEBUG   plugin-manager: started(1477737) /usr/local/libexec/c-lightning/plugins/sql
2025-05-23T12:06:32.794Z DEBUG   plugin-manager: started(1477738) /usr/local/libexec/c-lightning/plugins/cln-grpc
2025-05-23T12:06:32.795Z DEBUG   plugin-manager: started(1477739) /usr/local/libexec/c-lightning/plugins/clnrest
2025-05-23T12:06:32.795Z DEBUG   plugin-manager: started(1477740) /usr/local/libexec/c-lightning/plugins/cln-lsps-client
2025-05-23T12:06:32.796Z DEBUG   plugin-manager: started(1477741) /usr/local/libexec/c-lightning/plugins/cln-lsps-service
2025-05-23T12:06:32.796Z DEBUG   plugin-manager: started(1477742) /usr/local/libexec/c-lightning/plugins/bookkeeper
2025-05-23T12:06:32.797Z DEBUG   plugin-manager: started(1477749) /usr/local/libexec/c-lightning/plugins/wss-proxy/wss-proxy
2025-05-23T12:06:32.812Z INFO    plugin-wss-proxy: Killing plugin: disabled itself: No module named 'websockets'
2025-05-23T12:06:32.812Z UNUSUAL plugin-bookkeeper: topic 'utxo_deposit' is not a known notification topic
2025-05-23T12:06:32.812Z UNUSUAL plugin-bookkeeper: topic 'utxo_spend' is not a known notification topic
2025-05-23T12:06:32.812Z DEBUG   lightningd: io_break: check_plugins_manifests
2025-05-23T12:06:32.812Z DEBUG   lightningd: io_loop_with_timers: plugins_init
2025-05-23T12:06:32.813Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_channeld
2025-05-23T12:06:32.814Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_closingd
2025-05-23T12:06:32.815Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_connectd
2025-05-23T12:06:32.816Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_gossipd
2025-05-23T12:06:32.817Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_hsmd
2025-05-23T12:06:32.819Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_onchaind
2025-05-23T12:06:32.820Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_openingd
