2025-05-23T12:23:36.830Z INFO    lightningd: v25.02-301-gcca076b
2025-05-23T12:23:37.148Z INFO    lightningd: Creating configuration directory /home/remyers/github/lightning-cfg/.lightning/bob/regtest
2025-05-23T12:23:37.148Z DEBUG   lightningd: Opened log file cln.log
2025-05-23T12:23:37.149Z DEBUG   plugin-manager: started(1484655) /usr/local/libexec/c-lightning/plugins/autoclean
2025-05-23T12:23:37.149Z DEBUG   plugin-manager: started(1484656) /usr/local/libexec/c-lightning/plugins/chanbackup
2025-05-23T12:23:37.150Z DEBUG   plugin-manager: started(1484657) /usr/local/libexec/c-lightning/plugins/bcli
2025-05-23T12:23:37.150Z DEBUG   plugin-manager: started(1484658) /usr/local/libexec/c-lightning/plugins/commando
2025-05-23T12:23:37.151Z DEBUG   plugin-manager: started(1484659) /usr/local/libexec/c-lightning/plugins/funder
2025-05-23T12:23:37.151Z DEBUG   plugin-manager: started(1484660) /usr/local/libexec/c-lightning/plugins/topology
2025-05-23T12:23:37.152Z DEBUG   plugin-manager: started(1484661) /usr/local/libexec/c-lightning/plugins/exposesecret
2025-05-23T12:23:37.153Z DEBUG   plugin-manager: started(1484662) /usr/local/libexec/c-lightning/plugins/keysend
2025-05-23T12:23:37.153Z DEBUG   plugin-manager: started(1484663) /usr/local/libexec/c-lightning/plugins/offers
2025-05-23T12:23:37.154Z DEBUG   plugin-manager: started(1484664) /usr/local/libexec/c-lightning/plugins/pay
2025-05-23T12:23:37.154Z DEBUG   plugin-manager: started(1484665) /usr/local/libexec/c-lightning/plugins/recklessrpc
2025-05-23T12:23:37.155Z DEBUG   plugin-manager: started(1484666) /usr/local/libexec/c-lightning/plugins/recover
2025-05-23T12:23:37.156Z DEBUG   plugin-manager: started(1484667) /usr/local/libexec/c-lightning/plugins/txprepare
2025-05-23T12:23:37.156Z DEBUG   plugin-manager: started(1484668) /usr/local/libexec/c-lightning/plugins/cln-renepay
2025-05-23T12:23:37.157Z DEBUG   plugin-manager: started(1484669) /usr/local/libexec/c-lightning/plugins/cln-xpay
2025-05-23T12:23:37.157Z DEBUG   plugin-manager: started(1484670) /usr/local/libexec/c-lightning/plugins/spenderp
2025-05-23T12:23:37.158Z DEBUG   plugin-manager: started(1484671) /usr/local/libexec/c-lightning/plugins/cln-askrene
2025-05-23T12:23:37.158Z DEBUG   plugin-manager: started(1484672) /usr/local/libexec/c-lightning/plugins/sql
2025-05-23T12:23:37.159Z DEBUG   plugin-manager: started(1484673) /usr/local/libexec/c-lightning/plugins/cln-grpc
2025-05-23T12:23:37.159Z DEBUG   plugin-manager: started(1484674) /usr/local/libexec/c-lightning/plugins/clnrest
2025-05-23T12:23:37.160Z DEBUG   plugin-manager: started(1484675) /usr/local/libexec/c-lightning/plugins/cln-lsps-client
2025-05-23T12:23:37.161Z DEBUG   plugin-manager: started(1484676) /usr/local/libexec/c-lightning/plugins/cln-lsps-service
2025-05-23T12:23:37.161Z DEBUG   plugin-manager: started(1484682) /usr/local/libexec/c-lightning/plugins/bookkeeper
2025-05-23T12:23:37.162Z DEBUG   plugin-manager: started(1484693) /usr/local/libexec/c-lightning/plugins/wss-proxy/wss-proxy
2025-05-23T12:23:37.184Z INFO    plugin-wss-proxy: Killing plugin: disabled itself: No module named 'websockets'
2025-05-23T12:23:37.184Z UNUSUAL plugin-bookkeeper: topic 'utxo_deposit' is not a known notification topic
2025-05-23T12:23:37.184Z UNUSUAL plugin-bookkeeper: topic 'utxo_spend' is not a known notification topic
2025-05-23T12:23:37.184Z DEBUG   lightningd: io_break: check_plugins_manifests
2025-05-23T12:23:37.184Z DEBUG   lightningd: io_loop_with_timers: plugins_init
2025-05-23T12:23:37.185Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_channeld
2025-05-23T12:23:37.186Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_closingd
2025-05-23T12:23:37.188Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_connectd
2025-05-23T12:23:37.188Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_gossipd
2025-05-23T12:23:37.189Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_hsmd
2025-05-23T12:23:37.191Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_onchaind
2025-05-23T12:23:37.192Z DEBUG   lightningd: testing /usr/local/bin/../libexec/c-lightning/lightning_openingd
2025-05-23T12:23:37.193Z DEBUG   hsmd: pid 1484738, msgfd 66
2025-05-23T12:23:37.203Z DEBUG   hsmd: capability +WIRE_HSMD_CHECK_PUBKEY
2025-05-23T12:23:37.203Z DEBUG   hsmd: capability +WIRE_HSMD_SIGN_ANY_DELAYED_PAYMENT_TO_US
2025-05-23T12:23:37.203Z DEBUG   hsmd: capability +WIRE_HSMD_SIGN_ANCHORSPEND
2025-05-23T12:23:37.203Z DEBUG   hsmd: capability +WIRE_HSMD_SIGN_HTLC_TX_MINGLE
2025-05-23T12:23:37.203Z DEBUG   hsmd: capability +WIRE_HSMD_SIGN_SPLICE_TX
2025-05-23T12:23:37.203Z DEBUG   hsmd: capability +WIRE_HSMD_CHECK_OUTPOINT
2025-05-23T12:23:37.203Z DEBUG   hsmd: capability +WIRE_HSMD_FORGET_CHANNEL
2025-05-23T12:23:37.203Z DEBUG   hsmd: capability +WIRE_HSMD_REVOKE_COMMITMENT_TX
2025-05-23T12:23:37.203Z DEBUG   hsmd: capability +WIRE_HSMD_SIGN_BOLT12_2
2025-05-23T12:23:37.203Z DEBUG   hsmd: capability +WIRE_HSMD_BIP137_SIGN_MESSAGE
2025-05-23T12:23:37.203Z DEBUG   hsmd: capability +WIRE_HSMD_PREAPPROVE_INVOICE_CHECK
2025-05-23T12:23:37.203Z DEBUG   hsmd: capability +WIRE_HSMD_PREAPPROVE_KEYSEND_CHECK
2025-05-23T12:23:37.204Z INFO    lightningd: Creating database
2025-05-23T12:23:37.267Z DEBUG   connectd: pid 1484744, msgfd 70
2025-05-23T12:23:37.267Z DEBUG   hsmd: preinit: dev_fail_preapprove = 0, dev_no_preapprove_check = 0, dev_warn_on_overgrind = 0
2025-05-23T12:23:37.267Z UNUSUAL hsmd: HSM: created new hsm_secret file
2025-05-23T12:23:37.267Z DEBUG   hsmd: Client: Received message 27 from client
2025-05-23T12:23:37.267Z DEBUG   hsmd: Client: Received message 27 from client
2025-05-23T12:23:37.267Z DEBUG   hsmd: Client: Received message 27 from client
2025-05-23T12:23:37.267Z DEBUG   hsmd: new_client: 0
2025-05-23T12:23:37.268Z DEBUG   connectd: Created listener on 127.0.0.1:9737
2025-05-23T12:23:37.268Z DEBUG   connectd: REPLY WIRE_CONNECTD_INIT_REPLY with 0 fds
2025-05-23T12:23:37.268Z DEBUG   lightningd: io_break: connect_init_done
2025-05-23T12:23:37.268Z DEBUG   lightningd: io_loop: connectd_init
2025-05-23T12:23:37.283Z INFO    plugin-bcli: bitcoin-cli initialized and connected to bitcoind.
2025-05-23T12:23:37.283Z DEBUG   lightningd: io_break: plugin_config_cb
2025-05-23T12:23:37.283Z DEBUG   lightningd: io_loop_with_timers: config_plugin
2025-05-23T12:23:37.283Z DEBUG   lightningd: All Bitcoin plugin commands registered
